A_Index;Ausbaustufe;Baujahr;Besonderheiten;EG_qm;Gesamtqual;Gesamtzustand;Grundstueck_qm;Kellerhoehe;Lage;QualInnenfarbe;Steigung;Umgebaut;Verkaufsjahr;Wohnflaeche_qm;Z_Verkaufspreis
1710;1 Ebene;1960;;166;Durchschnitt;Durchschnitt;1428;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1960;2009;166;100088
1310;1 Ebene;1982;;151;Durchschnitt;Durchschnitt;2365;Gut;NeuBerlin_B;2;Mittel;1982;2006;151;145148
2563;1 Ebene;1925;;84;Schlecht;Schlecht;1004;Schlecht;NeuBerlin_A;3;Stark;1953;2011;84;48860
373;1 Ebene;1968;;95;Durchschnitt;Durchschnitt;1314;Durchschnitt;NeuBerlin_C;5;Keine/Kaum;1968;2006;95;72349
1464;1 Ebene;1979;;133;Gut;Gut;1080;Gut;NeuBerlin_C;5;Keine/Kaum;2007;2007;133;138313
776;1,5 Ebenen;1951;;114;Durchschnitt;Durchschnitt;962;Durchschnitt;NeuBerlin_C;2;Keine/Kaum;1953;2005;155;76230
1874;1 Ebene;1954;;124;Durchschnitt;Durchschnitt;931;Schlecht;NeuBerlin_A;4;Keine/Kaum;1954;2008;124;84066
65;2 Ebenen;2003;;70;Gut;Durchschnitt;217;Gut;NeuBerlin_A;1;Keine/Kaum;2003;2007;140;106907
2289;1 Ebene;1999;;102;Durchschnitt;Durchschnitt;1660;Gut;NeuBerlin_B;2;Mittel;1999;2007;102;93837
2390;1 Ebene;1977;Pool;200;Gut;Schlecht;1440;Gut;NeuBerlin_C;2;Keine/Kaum;1977;2006;246;155623
1858;1 Ebene;1975;;81;Durchschnitt;Gut;723;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;2009;2007;81;74232
562;1 Ebene;1980;;93;Durchschnitt;Durchschnitt;1056;Gut;NeuBerlin_B;5;Keine/Kaum;1980;2005;93;76230
2283;1 Ebene;2009;;115;Gut;Durchschnitt;864;Gut;NeuBerlin_B;3;Keine/Kaum;2009;2007;115;123086
1474;2 Ebenen;1980;;57;Durchschnitt;Durchschnitt;271;Gut;NeuBerlin_C;3;Keine/Kaum;1980;2006;121;62548
2410;1,5 Ebenen;1993;;110;Gut;Gut;1379;Gut;NeuBerlin_A;5;Keine/Kaum;1994;2008;159;126099
2107;1 Ebene;1953;;100;Durchschnitt;Durchschnitt;976;Durchschnitt;NeuBerlin_B;3;Keine/Kaum;1999;2013;100;127912
1369;1 Ebene;2004;;145;Gut;Durchschnitt;719;Gut;NeuBerlin_A;4;Keine/Kaum;2005;2006;145;132279
2310;1 Ebene;1967;;120;Durchschnitt;Gut;1052;Durchschnitt;NeuBerlin_B;1;Keine/Kaum;1967;2012;120;123198
1676;2 Ebenen;2007;;90;Gut;Durchschnitt;261;Gut;NeuBerlin_A;1;Keine/Kaum;2009;2006;158;77811
313;1,5 Ebenen;1957;;91;Durchschnitt;Durchschnitt;1054;Durchschnitt;NeuBerlin_A;4;Keine/Kaum;1957;2008;151;103569
2197;1,5 Ebenen;2006;;126;Durchschnitt;Durchschnitt;1149;Gut;NeuBerlin_C;1;Keine/Kaum;2006;2009;193;111209
1267;2 Ebenen;2001;;108;Gut;Durchschnitt;1217;Gut;NeuBerlin_A;3;Keine/Kaum;2001;2006;210;154426
173;1 Ebene;1961;;165;Durchschnitt;Durchschnitt;1152;Durchschnitt;NeuBerlin_B;2;Keine/Kaum;1961;2011;165;88109
1431;1,5 Ebenen;1918;;122;Durchschnitt;Durchschnitt;1043;Durchschnitt;NeuBerlin_C;2;Keine/Kaum;1953;2012;221;121330
